Los Angeles County Transportation Commission public policy impact study (1977 - 1980)	Simon, Renee (Renee B.) Shaw, Peter L. United States. Urban Mass Transportation Administration. Office of University Research and Training. California State University, Long Beach. Institute for Transportation Policy and Planning.	U.S. Urban Mass Transportation Administration Office of University Research and Training,	1981		google	NWU	https://catalog.hathitrust.org/Record/10631538	Full View
Downtown crossing	Weisbrod, Glen E. (Glen Elliot) United States. Urban Mass Transportation Administration. Office of Service and Management Demonstrations. Transportation Systems Center. Cambridge Systematics.	U.S. Urban Mass Transportation Administration : For sale by the Supt. of Docs., U.S. G.P.O.,	1982		google	NWU	https://catalog.hathitrust.org/Record/11240576	Full View
Capital stock measures for transportation	Terrovitis, Theo. Faucett, Jack G. Scheppach, Raymond C. United States. Dept. of Transportation. Office of the Secretary. Jack Faucett Associates.	U.S. Department of Transportation, Office of the Secretary,	1974		google	NWU	https://catalog.hathitrust.org/Record/10617825	Full View
Scope and plan for a study of transportation energy research needs and priorities	United States. Energy Research and Development Administration. National Research Council (U.S.). Transportation Research Board.	National Academy of Sciences,	1976		google	NWU	https://catalog.hathitrust.org/Record/10618020	Full View
The UMOT model	United States. Dept. of Transportation. Research and Special Programs Administration.	U.S. Department of Transportation Research and Special Programs Administration,	1981		google	NWU	https://catalog.hathitrust.org/Record/10630575	Full View
Science and transport	Aksenov, I. Ya. United States. Joint Publications Research Service.	U.S. Joint Publications Research Service,	1974		google	NWU	https://catalog.hathitrust.org/Record/10624938	Full View
Intermodal transportation planning directory	United States. Dept. of Transportation.	U.S. Department of Transportation,	1975		google	NWU	https://catalog.hathitrust.org/Record/10611243	Full View
Market opportunity analysis for short-range public transportation planning	Woodruff, Robert B. National Cooperative Highway Research Program. University of Tennessee, Knoxville.	Transportation Research Board, National Research Council,	1981		google	NWU	https://catalog.hathitrust.org/Record/10642570	Full View
Paratransit for the work trip	Technology Sharing Program (U.S.) United States. Urban Mass Transportation Administration. Office of Policy Research. Multisystems, inc.	Office of Policy Research, Urban Mass Transportation Administration : For sale by the Supt. of Docs., U.S. G.P.O.,	1982		google	NWU	https://catalog.hathitrust.org/Record/10631585	Full View
Columbia River bridge feasibility study	United States. Federal Highway Administration.	U.S. Federal Highway Administration,	1980		google	NWU	https://catalog.hathitrust.org/Record/11242548	Full View
Guidelines for implementing an anti-drug program for pipeline personnel	United States. Dept. of Transportation. Research and Special Programs Administration.	U.S. Department of Transportation, Research and Special Programs Administration, Office of Pipeline Safety,	1989		google	NWU	https://catalog.hathitrust.org/Record/10608520	Full View
Safe service life for liquid petroleum pipelines	United States. National Transportation Safety Board.	The Board,	1978		google	NWU	https://catalog.hathitrust.org/Record/10609045	Full View
Basin Electric Power Cooperative, Miles City converter station, finding of no significant impact (FONSI).	United States. Rural Electrification Administration.		1983	REA-MT-839984	google	NWU	https://catalog.hathitrust.org/Record/100976182	Full View
Reliability analysis of origin-destination surveys and determination of optimal sample size	Sinha, Kumares C. (Kumares Chandra) Makowski, Gary G. Chatterjee, Arun. United States. Urban Mass Transportation Administration. Marquette University. Dept. of Mathematics and Statistics. Marquette University. Dept. of Civil Engineering.	U.S. Urban Mass Transportation Administration,	1974		google	NWU	https://catalog.hathitrust.org/Record/10630494	Full View
Incentives to carpooling	United States. Urban Mass Transportation Administration. United States. Federal Highway Administration. United States. Dept. of Transportation. Office of the Secretary. Alan M. Voorhees & Associates.	U.S. Department of Transportation,	1974		google	NWU	https://catalog.hathitrust.org/Record/10631821	Full View
Free and freedom schools: a national survey of alternative programs	Cooper, Bruce S. United States. President's Commission on School Finance.	President's Commission on School Finance],	1971	Pr 37.8:Sch6/Sch6	google	MIU	https://catalog.hathitrust.org/Record/1055866	Limited View
Alternative work schedules	United States. Dept. of Transportation. Urban Consortium for Technology Initiatives. Public Technology, inc.	U.S. Department of Transportation,	1978		google	NWU	https://catalog.hathitrust.org/Record/10630090	Full View
Long-term trends in railroad service and capacity for U.S. agriculture	Prater, Marvin. Klindworth, Keith A. United States. Agricultural Marketing Service.	U.S. Dept. of Agriculture, Agricultural Marketing Service,	2000		google	NWU	https://catalog.hathitrust.org/Record/10611439	Full View
Management of traffic control systems	National Highway Institute (U.S.) United States. Federal Highway Administration. Office of Development. Pinnell-Anderson-Wilshire and Associates.	Federal Highway Administration, Office of Development, Office of Traffic Operations, National Highway Institute,	1974		google	NWU	https://catalog.hathitrust.org/Record/11242027	Full View
Social security amendments of 1971	United States. Congress. Senate. Committee on Finance.	U.S. Govt. Print. Off.,	1971	Y 4.F49:Sol/8/971	google	MIU	https://catalog.hathitrust.org/Record/962713	Limited View
General aviation accidents involving visual flight rules flight into instrument meteorological conditions	United States. National Transportation Safety Board.	National Transportation Safety Board ; National Technical Information Service [distributor,	1989	TD 1.106/4:89/01	google	NWU	https://catalog.hathitrust.org/Record/12357302	Limited View
Development of a proposed flammabiltity standard for commercial transport flight attendant uniforms	Center for Fire Research (U.S.) Braun, E. United States. Federal Aviation Administration.	Center for Fire Research, National Bureau of Standards ; available from National Technical Information Service,	1976		google	NWU	https://catalog.hathitrust.org/Record/10608051	Full View
Streets for pedestrians and transit	Edminster, Richard. Koffman, David. United States. Office of Transportation Management and Demonstrations. Transportation Systems Center. Crain & Associates.	U.S. Department of Transportation, Urban Mass Transportation Administration ; National Technical Information Service [distributor,	1977		google	NWU	https://catalog.hathitrust.org/Record/10631195	Full View
A survey of test methods currently used for simulating the transportation environment	Henzi, Alan N. United States. Dept. of Transportation. Office of Hazardous Materials. General American Transportation Corporation. General American Research Division.	Department of Transportation, Office of Hazardous Materials,	1971		google	NWU	https://catalog.hathitrust.org/Record/10619202	Full View
Automation of periodic reports	Condell, Helen. Folan, Rita. Kaprelian, Alan S. United States. Dept. of Transportation. Office of the Assistant Secretary for Policy, Plans and International Affairs. Transportation Systems Center.	Transportation Systems Center,	1975		google	NWU	https://catalog.hathitrust.org/Record/10619568	Full View
Container transportation	Sitnik, Mikhail Davidovich. Trikhunkov, Mikhail Fedorovich, joint author. Katolichenko, Vasiliĭ Andreevich, joint author. US Army Foreign Science and Technology Center.	Army Materiel Command, U.S. Army Foreign Science and Technology Center,	1971		google	NWU	https://catalog.hathitrust.org/Record/10612032	Full View
A transport improvement problem transformable to a best-path problem	Goldman, A. J. Nemhauser, George L. United States. Northeast Corridor Transportation Project.	U.S. Dept. of Transportation, Transport Systems Planning Division,	1967		google	NWU	https://catalog.hathitrust.org/Record/10619902	Full View
Improving the transportation planning process in Cambridge and other small cities	Transportation Systems Center. United States. Dept. of Transportation. Office of the Secretary. Cambridge (Mass.). Dept. of Traffic and Parking. Cambridge (Mass.). Dept. of Planning and Development.	Department of Transportation, Office of the Secretary and the Transportation Systems Center ; available through NTIS,	1972		google	NWU	https://catalog.hathitrust.org/Record/10629705	Full View
Systematic approach to recreation travel impact on total transportation demand and regional economic development	Ladd, Richard A. United States. Dept. of Transportation. Office of the Assistant Secretary for Policy and International Affairs. United States. Coast Guard Academy.	U. S. Coast Guard Academy,	1970		google	NWU	https://catalog.hathitrust.org/Record/10617670	Full View
Northeast Corridor Transportation Project report	Nelson, Robert A., 1920- United States. Northeast Corridor Transportation Project. United States. Office of High Speed Ground Transportation.	Northeast Corridor Transportation Project, Office of High Speed Ground Transportation, U.S. Department of Transportation,	1970		google	NWU	https://catalog.hathitrust.org/Record/10619878	Full View
Development of a demand forecasting framework for ten intercity corridors within the United States	Prokopy, John C. Ellis, Raymond H. Peat, Marwick, Mitchell & Co. United States. Federal Railroad Administration. Office of Research, Development, and Demonstrations. United States. Dept. of Transportation. Office of Systems Analysis and Information.	U.S. Dept. of Transportation,	1973		google	NWU	https://catalog.hathitrust.org/Record/10617677	Full View
New England: a social & economic characteristics profile, 1940-1985	United States. Office of Regional Development Planning. Olsen, Margaret. Frisch, Joel.	U.S. Economic Development Administration,	1967	C 46.2:N 42e/2/990-85	google	UIUC	https://catalog.hathitrust.org/Record/2257	Limited View
Managing travel demand	Berman, Wayne, 1950- American Trade Initiatives, Inc. United States. Federal Highway Administration. International Technology Exchange Program. United States. Federal Highway Administration. Office of International Programs.	U. S. Department of Transportation, Federal Highway Administration, Office of International Programs,	2006		google	NWU	https://catalog.hathitrust.org/Record/5671808	Full View
Documenting training opportunities related to transportation asset management	Ebeling, Mary R. Wittwer, Ernest F. Bittner, Jason. United States. Federal Highway Administration. Wisconsin. Dept. of Transportation. University of Wisconsin. College of Engineering. Dept. of Civil and Environmental Engineering. Midwest Regional University Transportation Center.	Midwest Regional University Transportation Center : College of Engineering, Dept. of Civil and Environmental Engineering, University of Wisconsin, Madison,	2005		google	NWU	https://catalog.hathitrust.org/Record/10618349	Full View
Market segmentation	Wright, Peter H. West Virginia University. Technology Education Program. United States. Urban Mass Transportation Administration. Office of Service and Management Demonstrations.	Office of Service and Management Demonstrations, Urban Mass Transportation Administration,	1985		google	NWU	https://catalog.hathitrust.org/Record/10629966	Full View
Prescription sleep aid use among adults	Chong, Yinong, Gu, Qiuping, author. Fryar, Cheryl D., author. National Center for Health Statistics (U.S.), issuing body.	U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, National Center for Health Statistics,	2013	HE 20.6234:127	google	UCR	https://catalog.hathitrust.org/Record/101726988	Full View
